CD06,UBRIQUE,Nos situamos en el centro de Ubrique y salimos por la A-373 en dirección hacia El Bosque y Ronda.,"En el km. 1,7 giramos a la derecha por la A-2302 hacia Benaocaz y Ronda; durante la ascensión pasamos al lado de Benaocaz y Villaluenga del Rosario.","1,5 kms. después de Villaluenga, en un collado sin señal ni referencia.",,36.70516,-5.37297,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8d717c7640957ae3&hl=es&ie=UTF8&t=m&ll=36.690446,-5.415573&spn=0.110121,0.171318&z=12&output=embed"
ML13,RÍO GENAL / PUJERRA,"En la pista asfaltada que une Júzcar con Pujerra, al cruzar el río Genal en dirección a Pujerra.","En el km. 3,5 seguimos a Pujerra a la derecha, ignorando la izquierda que nos llevaría a Igualeja; al llegar a Pujerra, tomar la ronda a la izquierda que nos evita el paso por el estrecho callejeo del pueblo; al salir del pueblo, nuevamente izquierda para enfilar hacia el Puerto de El Monte; en el km. 12,3 coronamos el Puerto de El Monte, sin cartel.","Al alcanzar la A-397 de Ronda a San Pedro de Alcántara, junto al cartel de puerto de El Madroño.",,36.61184,-5.07431,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f76ad0f188e29a20a&hl=es&ie=UTF8&t=m&ll=36.60478,-5.112419&spn=0.110243,0.171318&z=12&output=embed"
LU22,CABACEIRA,"Tomamos la LU-4606 que va de Chao de Pousadoiro hacia Fonsagrada y Santalla, y a la altura de Os Cangos, nos desviamos hacia Fonsagrada y Vilares. Comenzaría la ascensión al cruzar un puente sobre el río Rodil.","Transitamos en todo momento por la LU-1906, cruzaremos Cabaceira, Vilares, y a los 11,4 kms. llegaremos al alto de Hospital.","Al coronar se aprecia un cartel azul que señala al centro reemisor de la TVG, que tomaremos para alcanzar las antenas de Lagoseca. VARIANTE",,43.10642,-7.13699,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f77f5dca42dd04de9&hl=es&ie=UTF8&t=m&ll=43.140076,-7.172356&spn=0.100207,0.171318&z=12&output=embed"
JA10,PUENTE ORTEGA,"En la carretera A-6202 que desde el Embalse Tranco de Beas se dirige a Villanueva del Arzobispo, a la altura del km. 8,700 podemos dar inicio a esta subida, junto a una venta, en dirección a Villanueva del Arzobispo.","En el km. 8,2 pasamos por encima de la N-322 y seguimos las indicaciones a Villanueva del Arzobispo; una vez dejamos Villanueva a la derecha, un cruce en el km. 10,6 continuamos a la izquierda hacia Villacarrillo; en el km. 11,7 dejamos la rotonda por la primera salida ya con la indicación hacia Iznatoraf.","Al entrar en el pueblo de Iznatoraf, seguimos la pendiente ascendente girando hacia la izquierda y podemos acabar en un parking con amplio mirador.",,38.15716,-3.034,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9ed9a013019d0cbf&ie=UTF8&t=m&ll=38.150487,-2.995148&spn=0.107994,0.171318&z=12&output=embed"
JA10,MOGÓN,Salimos de Mogón por la carretera que lleva a Villanueva del Arzobispo. Poco después de cruzar un sencillo puente comienza la ascensión.,"En el km. 9,5 pasamos bajo la N-322, accedemos a una rotonda y seguimos las indicaciones a Iznatoraf.","Al entrar en el pueblo de Iznatoraf, seguimos la pendiente ascendente girando hacia la izquierda y podemos acabar en un parking con amplio mirador.",Asfalto malo (2013),38.15716,-3.034,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7b1fa408d5de2752&hl=es&ie=UTF8&t=m&ll=38.116191,-3.027763&spn=0.108045,0.171318&z=12&output=embed"
BI02,AREATZA,"Nos situamos en la plaza del pueblo de Areatza. Hemos de iniciar nuestras pedaladas buscando las indicaciones de Gorbea, del refugio de Larreder y Pagomakurre.","Sobre el km. 7,0 llegaremos a las campas de Larreder, con un aparcamiento, pero hemos de seguir adelante.","Al final de la pista cementada, en un gran aparcamiento donde se bifurcan sendas pistas de tierra, hay un cartel que indica que nos encontramos en el Área de Pagomakurre.",,43.077869,-2.791504,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f96ede65e3501ec01&hl=es&ie=UTF8&t=m&ll=43.098476,-2.780399&spn=0.050138,0.085659&z=13&output=embed"
ZM03,SAN MARTÍN,"En la ZA-104 que une La Puebla de Sanabria y Ribadelago, después de Galende tomamos el desvío hacia San Martín de Castañeda por la ZA-103. La subida comienza al cruzar el río Tera.",El pueblo de San Martín puede rodearse cómodamente por la carretera ZA-103 o se puede callejear buscando algunas rampas más duras,al gusto del cicloturista.,,42.16955,-6.7345,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f81a21037974251de&hl=es&ie=UTF8&t=m&ll=42.135913,-6.7099&spn=0.101837,0.171318&z=12&output=embed"
PR13,FUNCHAL,"Comenzamos en el paseo marítimo de Funchal, en la rotonda Sa Carneiro, saliendo en dirección NW.",Callejeando por Funchal buscaremos la carretera ER107 que se dirige a Curral das Freiras.,Al llegar a la boca del túnel en el km. 11 giramos a la izquierda por la antigua carretera hasta el parking del hotel Eira do Serrado. Tiene cartel de puerto.,,32.71041,-16.96223,"https://maps.google.com/maps/ms?msa=0&msid=201849215099252397790.0004f78c3a720bb952c80&hl=es&ie=UTF8&t=m&ll=32.679841,-16.941605&spn=0.11559,0.171318&z=12&output=embed"
MU08,RICOTE,"Salimos de Ojós hacia Blanca por la MU-520 y al poco de dejar las últimas casas, tomamos el desvío hacia Ricote a la izquierda.",El entrar en Ricote seguimos las indicaciones a La Bermeja.,"Al llevar 5 kms. desde el punto de inicio, cruzaremos el llamado Puente Saltador Martín, y 700 mts. después coronamos, junto al hito del km. 3. NOTA",,38.14752,-1.38483,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7b8307cf84b51638&hl=es&ie=UTF8&t=m&ll=38.149408,-1.361103&spn=0.053998,0.085659&z=13&output=embed"
AB06,CM-3216 (SUR),"En la carretera CM-3216 entre Paterna de Madera y Ayna, empieza la subida en el desvío hacia Peñascosa.","Pasaremos durante la subida por tres desvíos, en los tres seguiremos recto, dejando a la derecha, consecutivamente, El Ático, Los Catalmerejos y El Berrueco.","Al no tener un cartel ni elemento significativo, ofrece muchas dudas, siendo además el final muy irregular, sin bajada hacia el otro lado, con varios repechos. Hemos de vigilar que hayamos recorrido 8,1 kms. desde que empezamos la subida.",,38.65402,-2.32668,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8fa3d7038118e190&hl=es&ie=UTF8&t=m&ll=38.638864,-2.304554&spn=0.053634,0.085659&z=13&output=embed"
BA06,SANT PERE DE TORELLÓ,"Tal como entramos en Sant Pere de Torelló viniendo de Sant Vicenç de Torelló por la BV-5224, inciaremos el ascenso al pasar el puente sobre el Torrent del Pujol.",Iremos atentos por las calles empinadas de Sant Pere porque habremos de hacer dos giros a izquierdas siguiendo las indicaciones al Santuari de Bellmunt; el cementerio lo rozaremos por su muro izquierdo.,"Alcanzado el parking donde han de dejarse los coches, los ciclistas remataremos con 400 mts. durísimos de cemento para llegar al Santuario. Impresionante final.",Tramos de cemento.,42.10176,2.29375,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f9aa69aa2bec209ed&hl=es&ie=UTF8&t=m&ll=42.085229,2.291508&spn=0.050959,0.085659&z=13&output=embed"
HL04,EL REPILADO,"En el km. 109 de la N-433 a la altura de El Repilado, tomando el desvío que indica hacia ""Centro Turístico"" y Posada de Cortegana.","Recorridos 2,7 kms de esta carretera, seguimos rectos, ignorando un nuevo desvío a la izquierda hacia Posada de Cortegana; al llegar a La Corte, giro a la derecha tomando la HU-8103 hacia Puerto Lucía.","Algo más de 1 km. después de dejar atrás La Corte, llegamos al punto más alto de la ascensión, con una pista que sale a la izquierda, y faltando otro km. para Puerto Lucía.",Asfalto malo (2013),37.95912,-6.81831,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f8dffe87d74daad53&hl=es&ie=UTF8&t=m&ll=37.940407,-6.79985&spn=0.054152,0.085659&z=13&output=embed"
AS15,SAN ANDRÉS,"En la AS-228 entre Proaza y Trubia, encontraremos la aldea de San Andrés. Saliendo de este pueblo hacia Trubia, hallaremos el inicio en un desvío a la izquierda que lleva a Castañedo del Monte, justo al cruzar el río Trubia.","Al llegar a Castañedo, junto a la iglesia, debemos girar a la derecha en claro ascenso cruzando el pueblo; a los 7 kms. de ascenso, pasaremos por el centro de Linares y continuamos adelante.","Algo más de 1 km. después de Linares, en una zona llana, se acaba la subida, junto a un cartel local de madera, y cerca de unas antenas que coronan el monte más alto.",,43.27229,-6.02865,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7f7fc2247751c12c&hl=es&ie=UTF8&t=m&ll=43.292201,-6.000938&spn=0.049979,0.085659&z=13&output=embed"
AS36,RÍO NAVIA,"Salimos de San Antolín de Ibias hacia Sena, continuando hacia Barca y Valdeferreiros. Al cruzar el río Navia damos por iniciado el ascenso.",A los 700 mts. habremos pasado el cruce que a la izquierda nos llevaría a Parada; a los 2 kms. ignoramos la entrada a Murias por la izquierda; en el km. 4 dejamos esta vez a la derecha el desvío a Coea; pasado el km. 6 cruzamos Valdeferreiros y seguimos adelante.,"Algo más de 1 km. después del pueblo llegamos al punto más alto, junto a una caseta de ladrillo rojo que sirve de parada del autobús.",,43.02498,-6.98943,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004cac2c34fa8eee7a3a&ie=UTF8&t=m&ll=43.032196,-6.975889&spn=0.025096,0.04283&z=14&output=embed"
LU07,DOIRAS,"En la carretera LU-723, que comunica el valle del río Navia en Liber con las tierras leoneas de Balboa, por el puerto de O Portelo, nos situamos en un puente en la aldea de Doiras. Iniciamos aquí el ascenso siguiendo por la LU-723 hacia Balboa.","Seguiremos siempre por la LU-723 dejando a derecha e izquierda carreteras locales que va a pueblos como Vilarello o Vimiero, hasta el km. 8,5 en que coronamos el alto de O Portelo; aquí nos desviamos a la derecha para tomar una pista que conduce a Piedrafita de Cebreiro.","Algo más de 3 kms. después de ese desvío, llegamos al final sin ninguna señal que lo indique. Como referencia, es un cruce con una pista a la izquierda.",,42.72574,-6.98936,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f78a1128f93aa7757&hl=es&ie=UTF8&t=m&ll=42.750794,-6.991081&spn=0.100843,0.171318&z=12&output=embed"
JA08,OTIÑAR / EMBALSE DE QUIEBRAJANO,"Salimos de Jaén por la JA-3210 hacia Puente de la Sierra, donde nos desviaremos hacia Otiñar. Poco después de dejar atrás la entrada a Otiñar, comenzaremos la ascensión en un cruce, tomando la indicación hacia Embalse de Quiebrajano.","En el km. 5,8 y tras pasar tres cortos túneles, alcanzamos la Presa de Quiebrajano, en la rotonda seguimos por la derecha; poco después, una barrera y volvemos a girar a la derecha.",Algo más de 5 kms. desde el inicio llegamos a un collado de paso con un letrero que nos anuncia un Monumento Natural,Asfalto malo (2013),37.61884,-3.76334,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004f7b229de30f4e7091&hl=es&ie=UTF8&t=m&ll=37.646044,-3.760414&spn=0.108737,0.171318&z=12&output=embed"
BU08,LAS MACHORRAS,"En el pueblo de Las Machorras, en la carretera BU-570 que desde Espinosa de los Monteros nos lleva al Portillo de Lunada y Santander. [ Muy cerca del inicio del BU10 La Sía ]","Tiene cartel de puerto y es límite provincial entre Burgos y Cantabria. (*) Puerto fronterizo entre dos provincias, por lo que subirlo por cada vertiente puntúa para cada provincia, en este caso para Burgos y Cantabria. Ver CA11. CAMBIO","Antes el final de esta subida se hacía a la instalación militar del Picón del Fraile. Cuando faltan 500 mts para llegar al Portillo de Lunada, hay que desviarse a la derecha hacia la Base Militar que habremos visto a lo alto. Está prohibido el paso y así lo indica un cartel, y aunque muchos hemos subido sin más problema que al llegar arriba recibir órdenes de bajar sin hacer fotos, parece que ahora empiezan a sancionar o amenazan con multas.",,43.1711,-3.6548,"https://maps.google.es/maps/ms?msa=0&msid=201849215099252397790.0004f7c7cc322fd02c92f&hl=es&ie=UTF8&t=m&ll=43.147591,-3.626175&spn=0.100195,0.171318&z=12&output=embed"
CU04,CUENCA,"Salimos de Cuenca por la carretera CU-914 que nos lleva a Palomera y Buenache de la Sierra, pasando bajo las Casas Colgadas y pasando bajo el puente de San Pablo, junto al Parador Nacional.","A los 4 kms. desde Cuenca, nos tenemos que desviar a la derecha por una Pista Forestal que nos lleva hacia el Sagrado Corazón de Jesús.","Aunque el punto más alto está unos 400 mts. antes de llegar al Monumento al Sagrado Corazón de Jesús, es de lo más recomendable descender hasta el Monumento para admirar Cuenca desde lo alto.",,40.07569,-2.123,"https://maps.google.es/maps/ms?msa=0&msid=218028416192983371638.0004e84dc20612b6e9714&hl=es&ie=UTF8&t=m&ll=40.078728,-2.112637&spn=0.02627,0.04283&z=14&output=embed"
